Date,Price,Open,High,Low,Volume,Change(%)
15 Nov 2021,1018.05,1010,1020.9,1005.8,242548,0.88%
12 Nov 2021,1009.2,1006.95,1017,1004,205848,0.36%
11 Nov 2021,1005.55,1012.35,1023.5,1002.6,350575,-0.67%
10 Nov 2021,1012.35,1024.6,1024.6,1006.2,245569,-0.75%
09 Nov 2021,1020,1008,1023.7,1006,268224,1.17%
08 Nov 2021,1008.25,1018,1018,1000.2,515989,-0.50%
04 Nov 2021,1013.3,1007,1020,1007,45346,0.64%
03 Nov 2021,1006.9,1017,1029.6,1002.2,339233,-0.91%
02 Nov 2021,1016.1,1016.1,1032.4,1012.75,411549,0.04%
01 Nov 2021,1015.65,1018.05,1022,1007.45,296845,1.25%
29 Oct 2021,1003.15,981.8,1009,963.5,498334,2.68%
28 Oct 2021,976.95,1000,1013.2,971.35,504783,-2.00%
27 Oct 2021,996.9,988,1012.6,987.5,556913,-1.10%
26 Oct 2021,1007.95,981.25,1010,976.9,358527,2.76%
25 Oct 2021,980.85,1000,1002.85,976.05,551185,-1.93%
22 Oct 2021,1000.2,1021.6,1025.2,994,560314,-1.92%
21 Oct 2021,1019.8,1043.75,1046.8,1016.6,472550,-2.29%
20 Oct 2021,1043.75,1061,1068.2,1038,454915,-1.80%
19 Oct 2021,1062.9,1072,1088.45,1058.95,626400,-0.60%
18 Oct 2021,1069.35,1070.1,1081.5,1065.75,502488,0.22%
14 Oct 2021,1067.05,1090.1,1092,1065,539067,-0.74%
13 Oct 2021,1075.05,1069.05,1080,1062.1,360757,1.52%
12 Oct 2021,1059,1069,1074.75,1051.1,325260,-1.06%
11 Oct 2021,1070.3,1071.1,1075.5,1066,275676,0.22%
08 Oct 2021,1067.95,1085,1085,1063.8,440440,-0.81%
07 Oct 2021,1076.65,1081.2,1087.5,1074,228548,0.12%
06 Oct 2021,1075.4,1098.5,1098.5,1073,637680,-0.44%
05 Oct 2021,1080.15,1099.5,1107.7,1079,890346,-0.98%
04 Oct 2021,1090.8,1100.05,1102.65,1087.5,275847,-0.81%
01 Oct 2021,1099.7,1082,1109,1070,972509,1.57%
30 Sep 2021,1082.65,1080,1087.8,1066.8,546767,0.70%
29 Sep 2021,1075.1,1075,1080.55,1058.75,558127,-0.42%
28 Sep 2021,1079.6,1080.4,1096.7,1075.1,772425,-0.07%
27 Sep 2021,1080.4,1100,1101,1074.15,407054,-1.52%
24 Sep 2021,1097.05,1116.8,1122.8,1090.05,561328,-0.72%
23 Sep 2021,1105,1101.1,1109,1091.1,521437,0.98%
22 Sep 2021,1094.3,1104.9,1106.9,1090,388010,-0.73%
21 Sep 2021,1102.3,1105,1113,1083.1,408836,-0.47%
20 Sep 2021,1107.55,1130,1143.65,1102,293080,-2.50%
17 Sep 2021,1135.9,1164.1,1172.65,1130,512342,-3.32%
16 Sep 2021,1174.85,1180,1185.2,1166.35,255204,-0.46%
15 Sep 2021,1180.3,1194.7,1206.3,1175.1,406977,-0.74%
14 Sep 2021,1189.05,1185,1195,1183.1,207221,0.63%
13 Sep 2021,1181.65,1166,1187.2,1156.15,308367,1.10%
09 Sep 2021,1168.8,1181.95,1189.9,1166.2,231015,-0.69%
08 Sep 2021,1176.9,1180.95,1189.45,1165.4,200914,-0.34%
07 Sep 2021,1180.95,1195,1201.85,1170.25,407754,-0.56%
06 Sep 2021,1187.6,1173.4,1191.65,1166.8,238876,1.21%
03 Sep 2021,1173.4,1190,1194.9,1162.5,282862,-0.67%
02 Sep 2021,1181.3,1150,1185,1150,476006,2.72%
01 Sep 2021,1150,1146.9,1160.8,1138,224230,0.29%
31 Aug 2021,1146.65,1136.85,1151.7,1134.55,244169,0.86%
30 Aug 2021,1136.85,1143,1143,1129.05,271016,0.44%
27 Aug 2021,1131.9,1116,1135,1110.1,188741,1.24%
26 Aug 2021,1118.05,1128.7,1132,1112.25,258370,-0.60%
25 Aug 2021,1124.75,1128,1129,1108,156919,0.49%
24 Aug 2021,1119.3,1090,1122.75,1084.5,471960,3.26%
23 Aug 2021,1084,1106.9,1117.6,1079.85,876045,-1.36%
20 Aug 2021,1098.95,1126.65,1126.65,1095,302841,-2.46%
18 Aug 2021,1126.65,1130,1138.45,1119,481038,-0.01%
17 Aug 2021,1126.75,1125,1136.85,1116.05,304844,0.03%
16 Aug 2021,1126.45,1135,1140.55,1121,152489,-1.29%
13 Aug 2021,1141.15,1147,1157.5,1137.15,227297,-0.49%
12 Aug 2021,1146.8,1120.9,1151,1117.9,461786,2.59%
11 Aug 2021,1117.85,1131.6,1133,1093.75,645398,-0.69%
10 Aug 2021,1125.65,1135.45,1154,1121.1,297965,-1.43%
09 Aug 2021,1142,1169,1169.85,1139,295336,-2.30%
06 Aug 2021,1168.85,1179.95,1187.8,1166,131276,-0.65%
05 Aug 2021,1176.45,1179.95,1188.8,1166,208065,0.20%
04 Aug 2021,1174.1,1193,1197,1170.05,239882,-1.25%
03 Aug 2021,1188.95,1186,1198,1181.8,310895,0.27%
02 Aug 2021,1185.8,1170,1189,1170,499574,1.58%
30 Jul 2021,1167.35,1119.65,1173.7,1115,1470443,5.28%
29 Jul 2021,1108.8,1185,1185,1102.35,2702433,-0.93%
28 Jul 2021,1119.25,1140,1140.5,1108.35,371128,-1.52%
27 Jul 2021,1136.5,1143,1154.7,1134,277426,-0.23%
26 Jul 2021,1139.1,1144,1150,1136.3,182190,-0.45%
23 Jul 2021,1144.25,1153,1166.5,1140.55,341985,-0.26%
22 Jul 2021,1147.25,1134.9,1149,1131.8,235834,1.37%
20 Jul 2021,1131.8,1143,1156,1128.15,265913,-1.48%
19 Jul 2021,1148.75,1154,1158.7,1138.05,373234,-0.35%
16 Jul 2021,1152.75,1159,1164.9,1146.7,247285,-0.69%
15 Jul 2021,1160.75,1175.9,1178.4,1157.55,304898,-0.77%
14 Jul 2021,1169.75,1193,1212,1166,840989,-1.40%
13 Jul 2021,1186.3,1180,1189.8,1179,372809,0.55%
12 Jul 2021,1179.85,1182.1,1189.5,1169.75,296631,0.34%
09 Jul 2021,1175.9,1167,1178.5,1161.15,325337,0.91%
08 Jul 2021,1165.25,1170,1182.8,1162.3,791180,0.00%
07 Jul 2021,1165.25,1153,1169,1150.5,591766,1.05%
06 Jul 2021,1153.15,1155,1165.45,1148.55,540817,-0.16%
05 Jul 2021,1155,1148.45,1164,1145.55,477735,1.18%
02 Jul 2021,1141.55,1146.95,1146.95,1132.55,250609,0.38%
01 Jul 2021,1137.25,1142.15,1148.95,1133.65,394575,0.07%
30 Jun 2021,1136.5,1162,1165.7,1135,406478,-1.99%
29 Jun 2021,1159.6,1159.7,1171,1146,664622,0.73%
28 Jun 2021,1151.2,1134,1157,1125.4,1216305,2.17%
25 Jun 2021,1126.75,1134.1,1138,1125,593801,-0.99%
24 Jun 2021,1138.05,1168.25,1169.95,1136,447008,-2.59%
23 Jun 2021,1168.25,1190.95,1194.45,1165,352331,-1.50%
22 Jun 2021,1186.05,1195,1203.4,1182,593553,-0.47%
21 Jun 2021,1191.7,1165.5,1196.9,1158.1,372755,0.29%
18 Jun 2021,1188.2,1254.95,1254.95,1160.5,1136427,-4.54%
17 Jun 2021,1244.75,1248,1284.4,1231.3,1085735,-0.32%
16 Jun 2021,1248.75,1270,1277,1244.3,857467,-1.35%
15 Jun 2021,1265.8,1227.8,1278.75,1220,1993785,3.61%
14 Jun 2021,1221.65,1232.95,1234.85,1201.15,469196,-0.43%
11 Jun 2021,1226.9,1190.1,1234.6,1189.3,1577211,3.22%
10 Jun 2021,1188.65,1188.7,1196.8,1171.75,307593,0.52%
09 Jun 2021,1182.45,1191.2,1216.1,1172.45,994580,-0.25%
08 Jun 2021,1185.45,1187,1194.1,1173.6,276879,0.03%
07 Jun 2021,1185.15,1192,1202.4,1179.5,518159,0.26%
04 Jun 2021,1182.1,1187.3,1192.5,1170.45,353619,-0.44%
03 Jun 2021,1187.3,1195,1198,1178.1,280801,0.09%
02 Jun 2021,1186.25,1185,1209.6,1148,452417,0.28%
01 Jun 2021,1182.95,1191.5,1214.65,1176.5,441031,-0.69%
31 May 2021,1191.15,1182,1197.55,1163,539140,1.37%
28 May 2021,1175.1,1215.7,1223.8,1172.1,587871,-2.94%
27 May 2021,1210.7,1189.95,1216.45,1169,1444494,1.71%
26 May 2021,1190.4,1155,1199.7,1142,1798442,4.54%
25 May 2021,1138.65,1139.45,1196.6,1131,2940577,-0.25%
24 May 2021,1141.5,1146.5,1157,1135.5,681804,0.94%
21 May 2021,1130.85,1125,1142.9,1112.2,525963,1.34%
20 May 2021,1115.85,1120,1127.65,1108.05,214954,-0.48%
19 May 2021,1121.25,1132.95,1138.3,1114.9,242705,-0.55%
18 May 2021,1127.45,1108.15,1133.45,1108.15,276987,1.85%
17 May 2021,1106.95,1104,1115,1084.55,569890,1.25%
14 May 2021,1093.25,1137.5,1144,1090.25,473273,-3.55%
12 May 2021,1133.45,1166,1174.85,1127.85,292247,-2.80%
11 May 2021,1166.1,1157.95,1188.9,1143,452899,0.32%
10 May 2021,1162.35,1159.95,1170,1157.25,164921,0.38%
07 May 2021,1157.95,1149,1160.95,1136.5,247037,0.77%
06 May 2021,1149.1,1152.95,1158.6,1138.5,200518,0.30%
05 May 2021,1145.7,1164,1179,1132.8,503803,-0.24%
04 May 2021,1148.5,1143,1165,1138.5,600865,0.93%
03 May 2021,1137.9,1126.25,1152,1117.2,531738,1.12%
30 Apr 2021,1125.35,1097.55,1143.75,1087.6,584164,2.53%
29 Apr 2021,1097.55,1112,1120.2,1094.55,292095,-1.09%
28 Apr 2021,1109.65,1111.4,1123.75,1101,292283,0.15%
27 Apr 2021,1108,1102,1118,1096.5,231310,0.48%
26 Apr 2021,1102.7,1115.85,1120.75,1100,206047,-0.55%
23 Apr 2021,1108.85,1080,1112.7,1080,302773,1.58%
22 Apr 2021,1091.6,1070.55,1096,1066.65,245343,1.42%
20 Apr 2021,1076.35,1092,1109.95,1071.7,517026,-0.49%
19 Apr 2021,1081.65,1070.5,1085,1055.3,199869,-1.99%
16 Apr 2021,1103.65,1089.5,1107,1080.1,288518,1.85%
15 Apr 2021,1083.65,1094.1,1117.75,1074.05,561205,-0.96%
13 Apr 2021,1094.2,1075,1103.15,1063.35,700497,1.24%
12 Apr 2021,1080.85,1126,1126.55,1075,730986,-4.85%
09 Apr 2021,1135.9,1135.95,1144.95,1116.05,536215,0.41%
08 Apr 2021,1131.25,1124.9,1143,1112.2,633745,0.75%
07 Apr 2021,1122.85,1096.95,1130,1094.55,651207,2.66%
06 Apr 2021,1093.8,1135,1143.2,1090,856911,-3.59%
05 Apr 2021,1134.55,1180,1180,1115,555399,-3.97%
01 Apr 2021,1181.5,1183.05,1193.9,1157.1,454224,1.07%
31 Mar 2021,1168.95,1165,1199.9,1160.95,593455,0.70%
30 Mar 2021,1160.8,1137.05,1164.85,1137.05,257210,2.13%
26 Mar 2021,1136.55,1160,1167,1124.25,470938,-0.40%
25 Mar 2021,1141.1,1170,1170,1130.6,636618,-1.71%
24 Mar 2021,1160.95,1157.7,1179.9,1143.05,655534,0.04%
23 Mar 2021,1160.45,1126,1164.5,1125.25,621779,3.28%
22 Mar 2021,1123.6,1122.4,1138.95,1112.8,404991,0.98%
19 Mar 2021,1112.7,1119,1120.4,1078,615891,-0.43%
18 Mar 2021,1117.5,1151.3,1183.55,1106.3,834244,-2.42%
17 Mar 2021,1145.25,1190,1206.45,1141.9,390186,-3.64%
16 Mar 2021,1188.5,1222.75,1230,1183,475352,-2.85%
15 Mar 2021,1223.35,1202.3,1226.4,1182,733114,1.26%
12 Mar 2021,1208.1,1185,1218.5,1175.3,1239058,3.33%
10 Mar 2021,1169.15,1180.95,1197.3,1161.5,447343,-0.92%
09 Mar 2021,1180,1207.95,1214.95,1171.15,421480,-2.04%
08 Mar 2021,1204.6,1229.9,1238,1200.35,638805,-1.19%
05 Mar 2021,1219.05,1197,1257,1194.65,2290987,1.49%
04 Mar 2021,1201.2,1181,1218.9,1175,457325,1.65%
03 Mar 2021,1181.65,1184.25,1214.9,1177.2,496604,-0.22%
02 Mar 2021,1184.2,1163,1202.4,1161.05,593277,2.21%
01 Mar 2021,1158.55,1161,1171.55,1141.7,386954,0.01%
26 Feb 2021,1158.4,1168.2,1204.05,1152,644317,-3.28%
25 Feb 2021,1197.7,1143,1207,1133.6,1251626,5.65%
24 Feb 2021,1133.6,1140,1155,1121,221354,0.40%
23 Feb 2021,1129.05,1152.25,1165.3,1123.2,509328,-1.85%
22 Feb 2021,1150.35,1170,1179.7,1144.4,593322,-2.76%
19 Feb 2021,1183.05,1168,1206,1164.55,1523367,1.58%
18 Feb 2021,1164.7,1159,1234,1148.25,4096352,1.20%
17 Feb 2021,1150.85,1150,1157.9,1129.15,527046,0.49%
16 Feb 2021,1145.25,1129,1149.95,1127,561526,1.45%
15 Feb 2021,1128.85,1141.1,1145.55,1125,314625,-1.03%
12 Feb 2021,1140.55,1163,1178.2,1132.55,789522,-1.99%
11 Feb 2021,1163.65,1128,1184.7,1124,2075301,3.11%
10 Feb 2021,1128.55,1154.8,1154.8,1098.85,1510652,-1.01%
09 Feb 2021,1140.05,1117,1154.65,1103.75,1483268,2.66%
08 Feb 2021,1110.5,1090,1114.1,1090,541994,2.54%
05 Feb 2021,1083,1108,1121,1075.1,556310,-1.66%
04 Feb 2021,1101.25,1083,1105,1076.4,530156,1.54%
03 Feb 2021,1084.55,1080.95,1098.95,1075,400019,0.33%
02 Feb 2021,1080.95,1075.15,1086,1061.2,614642,1.08%
01 Feb 2021,1069.4,1035.1,1074,1022.45,608562,3.31%
29 Jan 2021,1035.1,1065.7,1065.7,1028.2,386722,-1.95%
28 Jan 2021,1055.7,1025.15,1065,1025.15,535036,1.16%
27 Jan 2021,1043.6,1055,1080,1035.05,1264231,-0.83%
25 Jan 2021,1052.3,1046.15,1063,1011.35,916591,1.08%
22 Jan 2021,1041.05,1035,1065.95,1019,1742494,-0.06%
21 Jan 2021,1041.7,1094.95,1095,1037.15,789327,-4.00%
20 Jan 2021,1085.1,1084.9,1094.5,1071.05,468600,0.67%
19 Jan 2021,1077.9,1046,1079.95,1046,497055,3.08%
18 Jan 2021,1045.65,1082.5,1083.25,1038,575516,-4.14%
15 Jan 2021,1090.8,1118,1124.25,1073.3,588418,-1.77%
14 Jan 2021,1110.5,1113.9,1127.7,1097.65,563608,-0.31%
13 Jan 2021,1113.9,1138.75,1139,1094.9,439109,-1.13%
12 Jan 2021,1126.65,1131.2,1146,1123.5,1069239,0.04%
11 Jan 2021,1126.15,1118.1,1130.9,1102.85,592423,0.86%
08 Jan 2021,1116.55,1120.05,1134.3,1112.55,623408,-0.05%
07 Jan 2021,1117.1,1140,1147.35,1113.2,1448924,-1.10%
06 Jan 2021,1129.5,1109.9,1132.7,1100,1462556,3.01%
05 Jan 2021,1096.45,1090,1130,1085.35,3324073,1.21%
04 Jan 2021,1083.35,1065,1084.75,1060.1,617427,2.21%
01 Jan 2021,1059.95,1062.8,1074,1058.05,409774,-0.12%
31 Dec 2020,1061.2,1059.9,1079.1,1058,649905,-0.86%
30 Dec 2020,1070.4,1095,1095,1065.6,1084657,-1.13%
29 Dec 2020,1082.6,1059.7,1086,1049.25,1468432,2.86%
28 Dec 2020,1052.45,1060,1074.4,1048.05,606515,0.14%
24 Dec 2020,1051,1061.9,1072.2,1046.5,384752,-0.51%
23 Dec 2020,1056.35,1041,1064,1037,714102,0.93%
22 Dec 2020,1046.65,1015.2,1058.7,997.25,1338868,3.10%
21 Dec 2020,1015.2,1040,1066.85,989.7,1081347,-2.64%
18 Dec 2020,1042.7,1042,1056.45,1026.1,952355,0.02%
17 Dec 2020,1042.45,1060.05,1066.9,1040.2,445154,-1.90%
16 Dec 2020,1062.6,1060,1072.5,1052.5,603753,0.67%
15 Dec 2020,1055.55,1083,1085.95,1041.5,927781,-1.92%
14 Dec 2020,1076.25,1065,1098.7,1061.6,2660270,1.61%
11 Dec 2020,1059.2,1042,1064.5,1039.35,817204,2.07%
10 Dec 2020,1037.75,1037.5,1050,1030.95,633414,-0.06%
09 Dec 2020,1038.35,1037.05,1062.8,1033.2,1191998,0.04%
08 Dec 2020,1037.9,1041,1044,1020.3,419454,-0.30%
07 Dec 2020,1041.05,1040,1044.9,1026.15,386734,0.34%
04 Dec 2020,1037.55,1047.25,1055.7,1025,522561,-0.35%
03 Dec 2020,1041.15,1050,1051.65,1022,815381,0.09%
02 Dec 2020,1040.25,1055.1,1070.85,1030.05,1212696,-1.80%
01 Dec 2020,1059.35,1063.9,1084.5,1047.6,2269915,-0.43%
27 Nov 2020,1063.9,972,1068.4,972,9103753,14.51%
26 Nov 2020,929.05,927.1,937.9,921.15,488047,-0.16%
25 Nov 2020,930.5,945,950,927.7,568120,-1.06%
24 Nov 2020,940.5,946.95,949.5,932.35,751088,-0.24%
23 Nov 2020,942.75,930,955.45,928,1596108,1.21%
20 Nov 2020,931.45,922.05,939,921.3,930461,1.10%
19 Nov 2020,921.3,909.6,938.8,907,2676032,1.79%
18 Nov 2020,905.1,885,908,882.25,2988744,4.05%
17 Nov 2020,869.9,866,873.55,856.25,656402,0.78%
14 Nov 2020,863.2,865.9,869.85,860,101032,0.38%
13 Nov 2020,859.95,881,892.7,853,2231081,-2.14%
12 Nov 2020,878.8,879,892.7,875,1317587,0.74%
11 Nov 2020,872.35,857.3,874.55,856,1028912,2.32%
10 Nov 2020,852.55,850,863,842.45,792395,0.84%
09 Nov 2020,845.45,843,854.3,838.7,847009,0.94%
06 Nov 2020,837.6,845,848,835,558270,-0.52%
05 Nov 2020,842,824,849.6,821,876930,2.65%
04 Nov 2020,820.3,815.1,825,810.15,473079,0.70%
03 Nov 2020,814.6,817,823,813.05,319146,-0.18%
02 Nov 2020,816.05,816.5,827.3,809.1,377954,0.14%
30 Oct 2020,814.9,813.2,829,807.05,427737,0.21%
29 Oct 2020,813.2,813,824.5,809.1,526186,-0.96%
28 Oct 2020,821.05,848.4,850,817.25,1044702,-2.52%
27 Oct 2020,842.25,820,846.15,813.2,918707,2.72%
26 Oct 2020,819.95,824.7,838,816.6,978162,-0.15%
23 Oct 2020,821.15,831.6,836,819,666038,-0.89%
22 Oct 2020,828.55,819,837.35,812,1053638,0.82%
21 Oct 2020,821.8,830.8,834.8,812.55,847137,-0.93%
20 Oct 2020,829.5,826.1,839.9,825.75,692179,0.36%
19 Oct 2020,826.55,827.9,829.9,812.2,429150,0.69%
16 Oct 2020,820.85,817.65,835.9,797.1,1594477,0.77%
15 Oct 2020,814.6,795.7,828,793,2593337,2.76%
14 Oct 2020,792.7,784.7,797.2,779.65,982053,0.60%
13 Oct 2020,787.95,809.9,809.9,785.75,1325891,-2.73%
12 Oct 2020,810.1,823.95,825.7,804.1,1147214,-1.68%
09 Oct 2020,823.95,836.5,838.25,821.6,994941,-1.66%
08 Oct 2020,837.9,827,844,818,1582922,1.10%
07 Oct 2020,828.8,856.9,856.9,827,1137704,-3.39%
06 Oct 2020,857.9,856,860.65,845,690343,0.42%
05 Oct 2020,854.35,864,872.95,852,547684,-1.12%
01 Oct 2020,864.05,851.25,874.7,839.1,1372140,4.10%
30 Sep 2020,830.05,840,845.75,823.4,571227,-0.71%
29 Sep 2020,836,856,865.5,825.2,826553,-1.61%
28 Sep 2020,849.7,827,854.8,825,908318,3.46%
25 Sep 2020,821.3,821.5,836.25,812.2,1051885,0.40%
24 Sep 2020,818.05,844,846.95,816,837156,-2.95%
23 Sep 2020,842.9,860,865,834.15,666476,-0.99%
22 Sep 2020,851.3,888,889,830.35,3108378,-3.96%
21 Sep 2020,886.4,923.7,941,878.35,1848325,-3.56%
18 Sep 2020,919.15,916,928.75,911.9,1072290,0.82%
17 Sep 2020,911.7,911.6,918,904.05,430542,0.26%
16 Sep 2020,909.3,917,920,905,1016046,-2.91%
15 Sep 2020,936.55,939.45,941,917.5,714646,0.73%
14 Sep 2020,929.75,911,949,911,1350393,2.61%
11 Sep 2020,906.1,898.9,909.8,895.1,867419,1.08%
10 Sep 2020,896.4,900,909.45,885,682944,0.24%
09 Sep 2020,894.25,884.95,900,876.15,775277,0.41%
08 Sep 2020,890.6,905.15,911.5,888,738912,-1.50%
07 Sep 2020,904.15,914.95,923.65,896.6,613955,-0.90%
04 Sep 2020,912.4,918,927.8,900,716437,-1.50%
03 Sep 2020,926.25,918,942,915.7,1070176,1.39%
02 Sep 2020,913.55,919,929.9,906.4,1427130,0.85%
01 Sep 2020,905.85,952,959.95,893.35,2674771,-4.85%
31 Aug 2020,952,999,1009,950,1163989,-4.06%
28 Aug 2020,992.25,999.5,1004.7,987.65,846032,-0.06%
27 Aug 2020,992.8,1016,1020,990,931220,-2.20%
26 Aug 2020,1015.1,1040,1042.1,1011.25,863962,-2.26%
25 Aug 2020,1038.6,1064.95,1072.95,1033.9,854865,-2.02%
24 Aug 2020,1060.05,1049,1074.9,1045.05,1624120,1.62%
21 Aug 2020,1043.1,1021.7,1056,1020.55,2760772,3.05%
20 Aug 2020,1012.25,966.65,1018.9,965.1,2416683,4.45%
19 Aug 2020,969.1,975,975,960.6,616229,-0.15%
18 Aug 2020,970.6,959.5,973.9,959.5,538412,1.35%
17 Aug 2020,957.7,978,978,952,837705,-1.46%
14 Aug 2020,971.85,984,991.75,968,517352,-1.23%
13 Aug 2020,983.95,990.25,1004.8,981,1108782,0.23%
12 Aug 2020,981.65,971.3,986.95,966.1,544636,1.07%
11 Aug 2020,971.25,980,992.1,967.55,1079422,0.35%
10 Aug 2020,967.9,964,970,946,692507,-0.11%
07 Aug 2020,969,985,987.55,959,775997,-1.56%
06 Aug 2020,984.35,991.65,991.95,969.5,576447,-0.29%
05 Aug 2020,987.25,975,991.9,971.5,725975,1.83%
04 Aug 2020,969.55,970.15,977.4,962,667781,-0.28%
03 Aug 2020,972.3,970,983.75,969,319294,-0.22%
31 Jul 2020,974.45,989.2,992.6,970.05,731360,-1.28%
30 Jul 2020,987.1,1009.9,1014.25,985.1,402164,-1.86%
29 Jul 2020,1005.85,1000.7,1015.9,995.35,731289,0.64%
28 Jul 2020,999.5,1001.9,1008.9,990.85,563628,-0.24%
27 Jul 2020,1001.9,1027.9,1032.5,999.8,535939,-2.53%
24 Jul 2020,1027.9,1027,1035.3,1007,573795,-0.01%
23 Jul 2020,1028.05,1002,1036.9,999,1565080,2.47%
22 Jul 2020,1003.25,1000.9,1013.4,986,510513,0.16%
21 Jul 2020,1001.65,1017,1017,985.5,739511,-0.50%
20 Jul 2020,1006.65,998.4,1015,996.05,705363,1.28%
17 Jul 2020,993.9,981,1001.6,974.2,1132274,1.20%
16 Jul 2020,982.15,987,987,959,722731,0.18%
15 Jul 2020,980.4,1000,1003.25,976.35,894344,-0.92%
14 Jul 2020,989.5,969.95,992,967.1,1431269,2.02%
13 Jul 2020,969.95,970.4,983.4,962.9,685399,0.00%
10 Jul 2020,969.95,1012,1019,963.3,1991447,-4.16%
09 Jul 2020,1012,1007.9,1022.45,996,1965498,0.46%
08 Jul 2020,1007.35,1028.55,1032,1001,1576167,-2.06%
07 Jul 2020,1028.55,1060,1079.1,1024.1,1989742,-4.19%
06 Jul 2020,1073.55,1080,1088.15,1068.6,460284,0.21%
03 Jul 2020,1071.25,1058.2,1079.75,1049.05,796618,2.24%
02 Jul 2020,1047.8,1055,1062.95,1046,542838,-0.21%
01 Jul 2020,1050.05,1050,1058.9,1033.6,631653,-0.19%
30 Jun 2020,1052.1,1056,1074,1049.15,656947,0.81%
29 Jun 2020,1043.65,1080,1087,1039,696422,-3.11%
26 Jun 2020,1077.15,1084,1092.2,1071,410500,0.71%
25 Jun 2020,1069.6,1060.9,1073.9,1035,874078,0.63%
24 Jun 2020,1062.95,1067,1112.2,1047.95,1605125,0.47%
23 Jun 2020,1058,1058.7,1066,1041.8,583350,0.42%
22 Jun 2020,1053.55,1077,1089.45,1050.05,1168185,-2.05%
19 Jun 2020,1075.65,1082.65,1094.6,1061,1159154,-0.65%
18 Jun 2020,1082.65,1042.8,1090.45,1033.05,1467632,3.56%
17 Jun 2020,1045.4,1052.75,1068.7,1040.7,720198,-0.33%
16 Jun 2020,1048.85,1075,1084.6,1034.8,2181100,-1.96%
15 Jun 2020,1069.8,1076,1097.4,1062,1682066,-0.41%
12 Jun 2020,1074.2,1004.95,1087.3,1001,2261363,3.66%
11 Jun 2020,1036.3,995,1048.8,993.3,2923939,4.33%
10 Jun 2020,993.3,1010,1010,983,1076796,-0.36%
09 Jun 2020,996.85,998,1013,992,1133170,0.84%
08 Jun 2020,988.55,1020,1042,985.1,1134082,-2.38%
05 Jun 2020,1012.65,1038.25,1038.25,1002,1165374,-1.17%
04 Jun 2020,1024.65,1048,1058,1015.55,2845144,1.07%
03 Jun 2020,1013.85,971.4,1024.4,969.2,1827727,4.91%
02 Jun 2020,966.4,967,979.85,942.5,1102110,0.47%
01 Jun 2020,961.9,982,1001.4,953.35,1041865,-1.10%
29 May 2020,972.6,923,980.05,919.05,1058763,5.18%
28 May 2020,924.7,919,942.7,917,603782,0.76%
27 May 2020,917.7,932,949.3,915,606882,-1.37%
26 May 2020,930.4,895.8,935,894.6,704497,4.00%
22 May 2020,894.6,906.9,909.9,886.35,445497,-1.36%
21 May 2020,906.95,898,916.7,897.1,708809,1.05%
20 May 2020,897.5,885,904.15,880.15,483243,0.97%
19 May 2020,888.85,886.2,910,872.4,641697,0.81%
18 May 2020,881.7,900.1,900.8,872.15,425606,-1.25%
15 May 2020,892.85,902,912.95,887.3,330883,-1.01%
14 May 2020,902,922.8,939.7,891.3,412466,-2.18%
13 May 2020,922.1,928.9,928.9,903.3,495953,1.71%
12 May 2020,906.6,895,915.15,877.65,421098,0.72%
11 May 2020,900.1,865,905,862.8,1013673,4.73%
08 May 2020,859.45,880.5,894,855.6,708735,-1.51%
07 May 2020,872.65,894.25,907.65,863.3,817591,-2.42%
06 May 2020,894.25,900.5,922,881.05,1458669,-1.58%
05 May 2020,908.65,959.9,959.9,905,574404,-3.50%
04 May 2020,941.65,932.1,975.75,932.1,607293,-3.20%
30 Apr 2020,972.75,955,978.1,955,747780,2.81%
29 Apr 2020,946.2,967.7,990,940.25,1211246,-1.37%
28 Apr 2020,959.35,928,965.5,924,678818,3.66%
27 Apr 2020,925.5,927,939.8,916.05,274980,1.36%
24 Apr 2020,913.05,912,936.95,890,718412,0.07%
23 Apr 2020,912.4,937.6,950,908.05,660155,-2.17%
22 Apr 2020,932.6,942,943.55,901.55,687505,-1.79%
21 Apr 2020,949.55,950,959,940.55,675268,-1.07%
20 Apr 2020,959.85,952,986.85,945.8,882069,1.33%
17 Apr 2020,947.25,948.15,968.4,941.65,1364794,0.83%
16 Apr 2020,939.45,939,958,921,780373,-0.16%
15 Apr 2020,940.95,958.95,968.95,925.7,864920,-0.92%
13 Apr 2020,949.65,910,960,872,985520,5.70%
09 Apr 2020,898.45,917,917,882.2,586149,0.88%
08 Apr 2020,890.6,862.6,941.75,859.5,1068870,3.62%
07 Apr 2020,859.5,845,885.5,832.65,677243,4.24%
03 Apr 2020,824.5,819,844.45,801.15,696751,1.18%
01 Apr 2020,814.9,819.95,833.7,801.1,275019,-0.43%
31 Mar 2020,818.45,820,829.8,782.35,537529,3.32%
30 Mar 2020,792.15,800,810,778.05,403182,-2.75%
27 Mar 2020,814.55,890,933.1,801,1037951,-5.42%
26 Mar 2020,861.25,765,872.7,758.7,1197918,15.81%
25 Mar 2020,743.7,700.2,778.65,693.95,780746,4.56%
24 Mar 2020,711.25,730,753.2,682.8,690513,1.67%
23 Mar 2020,699.55,715,791.6,692,407425,-11.77%
20 Mar 2020,792.85,757,818.15,730,691503,6.04%
19 Mar 2020,747.7,700.4,765,663.9,1466609,0.19%
18 Mar 2020,746.3,881.3,891.6,696.3,1519541,-15.00%
